county,Pop2012,Pop2017,Pop85up2012,Pop85up2017,Pop14to172012,Pop14to172017,Pop18to242012,Pop18to242017,Pop65up2012,Pop65up2017,EduLess9th,Edu9to12th,HighSchool,SomeCollege,Associate,Bachelor,Graduate degree,PopPov,VeryPoor,Poor,Unemployment
Decatur,27446,26674,456,481,1654,1544,2576,2401,4026,4314,7.2,12.2,35.8,22.6,7.3,8.1,6.8,25818,3633,2600,6.5
DeKalb,710515,752088,8248,9903,33822,35772,69154,64858,69080,89886,5.1,6.2,21.1,19,6.5,24.4,17.8,721966,54759,72540,8.5
Dodge,21514,20741,311,371,1166,929,2185,1741,3244,3576,3.8,13.2,42,19.1,7.3,8.5,6.1,19025,1691,2538,9
Dooly,14414,13690,250,277,666,619,1171,1029,2205,2652,9.6,17.4,38.5,18.4,6.2,6.7,3.2,12237,1310,1527,10.5
Dougherty,94676,89417,1549,1699,5044,4749,12017,9910,11980,13764,5.8,11.5,29,25.4,7.5,11.8,9,87646,13995,12764,15.8
Douglas,133580,143672,1130,1294,8603,9412,11850,13328,12721,16198,3.7,8,31.5,22.4,7.7,16.3,10.4,138611,8022,11668,7.9
Early,10639,10304,233,232,654,598,875,846,1916,1941,7.9,11.8,36.3,19.8,7.3,10,6.9,10235,1147,1665,8.7
Echols,3970,3933,33,46,227,243,371,335,412,493,13,17.7,34.9,20,7.6,4.8,2.1,4006,348,782,5.5
Effingham,53336,60058,425,565,3510,3699,4643,4831,5355,6893,3.7,9.3,37.5,22.5,7.8,13,6.2,56545,2261,3144,5
Elbert,19575,19108,415,450,1005,921,1743,1406,3552,3907,6.7,14.7,45.2,16.5,5.9,6.4,4.7,18997,1685,2561,7.7
Emanuel,22737,22501,350,350,1190,1159,2115,2031,3295,3568,7.2,12.9,43.2,17.4,6.8,6.8,5.7,21697,2596,3733,10.3
Evans,10677,10756,163,200,544,639,925,804,1588,1713,10,13.8,39.3,15.7,5.7,10,5.5,10222,1082,1575,6.6
Fannin,23605,25336,545,698,1052,1075,1468,1519,5700,7301,5.2,8.9,37.6,21.7,7.5,11.9,7.1,24118,1709,2097,8.3
Fayette,107316,112629,1769,2050,8083,7769,8865,9899,15641,19860,1.9,3.2,20.4,20,7.9,29.4,17.3,109526,2815,4092,5.5
Floyd,95934,97427,1759,1895,5030,5225,10198,9902,14264,15961,7.9,11.5,31.9,21.2,6.9,12.2,8.2,92440,6648,10126,7.5
Forsyth,186825,228588,1589,2179,12003,15755,11634,16486,18743,26737,3.5,4,16.9,18.4,7.1,33.4,16.7,210409,5881,7762,4.2
Franklin,21914,22815,433,476,1125,1198,2064,2156,3908,4275,8.3,14.4,39.1,17.6,7.7,8.1,4.6,21680,2626,2877,6.3
Fulton,973236,1038884,12704,14101,48180,52770,105314,105701,93402,118228,2.7,5.5,18.3,17.2,6,29.9,20.3,978533,77387,79132,7.7
Gilmer,28262,30409,498,643,1402,1387,1988,2106,5723,7377,7.6,11.2,35.1,19.8,7.7,11.6,7,29356,1573,3947,7.4
Glascock,3103,3050,73,82,204,184,218,257,493,525,9.4,13,42.4,20.5,5.4,7.2,2.2,2939,165,174,3.3
Glynn,80858,84859,1547,1754,4191,4471,6929,6938,13135,16530,3.1,8.8,27.8,23.6,7.8,17.9,11.1,82098,6681,9092,6.7
Gordon,55651,57187,611,826,3227,3471,4951,4815,6985,8300,9.5,13.7,34.6,21.8,6.8,8.1,5.6,55635,4554,5912,5.7
Grady,25266,24749,407,453,1353,1357,2141,1850,3804,4328,8.5,13.8,36.2,18.4,9.4,8.4,5.3,24773,2593,3691,8
Greene,16120,17220,299,385,682,715,1042,1021,3883,4940,6.4,11.2,32.7,18.8,5.3,13.9,11.7,16579,1525,2098,6.5
Gwinnett,837018,918153,6013,7674,54311,60463,73905,83000,64431,88240,6.4,6.1,23.1,19.8,9.2,23.3,12,883083,44124,63143,5.8
Habersham,43393,44547,746,814,2211,2342,3940,4095,7054,8031,10,11.9,33.8,19.3,6.5,10.1,8.2,41274,2697,4417,5.5
Hall,184127,199439,2516,3115,10872,12137,17077,17849,22707,29070,11.4,10.4,27.5,20.5,6.6,14.7,8.8,190704,12077,18557,4.6
Hancock,9080,8545,184,232,394,330,861,680,1599,1889,8.5,21.7,41.8,15.9,3.4,4.9,3.8,6021,597,1207,4
Haralson,28313,29231,404,456,1647,1680,2390,2277,4249,4709,6.7,14.3,36.8,22.5,5.5,7.9,6.2,28168,2676,2388,7.2
Harris,32575,33943,457,559,1907,1968,2588,2635,4831,6226,2.7,8.2,24.5,26.8,10.4,16.5,10.8,32667,1243,1139,8.5
Hart,25516,25756,517,562,1294,1309,2010,1897,4892,5516,4.8,14.1,39.2,20.4,7.8,8.3,5.4,24642,1919,2723,4.7
Heard,11649,11759,167,191,707,651,1042,978,1689,1984,6,13.7,44.9,18.6,6,6.2,4.6,11330,724,1251,9.6
Henry,208061,225508,1554,1990,14948,15807,19139,21143,19521,25595,2.9,7,30.3,23.1,8.8,17.9,10,215768,11255,13383,7.7
Houston,145930,153138,1569,1870,8609,8940,14030,13324,15708,19024,2.7,6.6,28.9,26.3,10.2,15.5,9.8,148253,12771,11974,7.8
Irwin,9614,9383,201,222,490,484,871,824,1556,1664,4.7,13.2,40.7,16.1,12.2,6.4,6.7,8989,1258,946,7.4
Jackson,60840,67716,722,821,3376,4040,4805,5035,7996,9790,5.9,11.4,33,20.8,9.3,12.8,6.9,63275,3459,4439,6.5
Jasper,13644,13886,190,218,729,784,1098,1024,1913,2378,7.6,16.2,38.1,20.5,7.1,5.7,4.8,13511,1181,1442,7.2
Jeff Davis,15198,15013,194,181,853,920,1281,1255,2110,2315,6.6,16.4,36.5,22.4,7.9,6,4.3,14925,1794,1285,5
Jefferson,16358,15613,321,312,869,901,1435,1287,2559,2783,8.6,17,41.5,15.9,6.5,7.5,3.1,15464,1781,2381,8.5
