county,Violent2018,Violent2017,Violent2012,Property2012,Property2017,Property2018,Pop2012,Pop2017,Pop85up2012,Pop85up2017,Pop14to172012,Pop14to172017,Pop18to242012,Pop18to242017,Pop65up2012,Pop65up2017,EduLess9th,Edu9to12th,HighSchool,SomeCollege,Associate,Bachelor,Graduate degree,PopPov,VeryPoor,Poor,Unemployment
Glynn,192,182,230,2680,1822,1635,80858,84859,1547,1754,4191,4471,6929,6938,13135,16530,3.1,8.8,27.8,23.6,7.8,17.9,11.1,82098,6681,9092,6.7
Grady,40,30,20,168,182,180,25266,24749,407,453,1353,1357,2141,1850,3804,4328,8.5,13.8,36.2,18.4,9.4,8.4,5.3,24773,2593,3691,8
Greene,10,10,19,205,152,112,16120,17220,299,385,682,715,1042,1021,3883,4940,6.4,11.2,32.7,18.8,5.3,13.9,11.7,16579,1525,2098,6.5
Habersham,27,44,33,495,254,324,43393,44547,746,814,2211,2342,3940,4095,7054,8031,10,11.9,33.8,19.3,6.5,10.1,8.2,41274,2697,4417,5.5
Hall,240,46,187,2357,1805,1561,184127,199439,2516,3115,10872,12137,17077,17849,22707,29070,11.4,10.4,27.5,20.5,6.6,14.7,8.8,190704,12077,18557,4.6
Hancock,12,16,0,72,91,88,9080,8545,184,232,394,330,861,680,1599,1889,8.5,21.7,41.8,15.9,3.4,4.9,3.8,6021,597,1207,4
Henry,300,351,286,4655,3949,3589,208061,225508,1554,1990,14948,15807,19139,21143,19521,25595,2.9,7,30.3,23.1,8.8,17.9,10,215768,11255,13383,7.7
Houston,117,98,59,996,1264,1002,145930,153138,1569,1870,8609,8940,14030,13324,15708,19024,2.7,6.6,28.9,26.3,10.2,15.5,9.8,148253,12771,11974,7.8
Irwin,8,6,13,114,108,119,9614,9383,201,222,490,484,871,824,1556,1664,4.7,13.2,40.7,16.1,12.2,6.4,6.7,8989,1258,946,7.4
Jasper,63,61,38,195,226,174,13644,13886,190,218,729,784,1098,1024,1913,2378,7.6,16.2,38.1,20.5,7.1,5.7,4.8,13511,1181,1442,7.2
Jeff Davis,16,13,76,257,170,115,15198,15013,194,181,853,920,1281,1255,2110,2315,6.6,16.4,36.5,22.4,7.9,6,4.3,14925,1794,1285,5
Jefferson,32,36,17,170,128,80,16358,15613,321,312,869,901,1435,1287,2559,2783,8.6,17,41.5,15.9,6.5,7.5,3.1,15464,1781,2381,8.5
Jones,22,27,19,489,329,262,28619,28453,386,420,1710,1725,2333,2255,3951,4845,3.1,8.6,38.4,21.4,7.7,12.3,8.5,28238,2102,1899,8.7
Lamar,22,8,24,220,146,114,18028,18636,278,308,836,906,2644,2422,2710,3152,3.3,11.2,37.7,21.6,7.9,12.8,5.6,16987,1765,1760,11.4
Lanier,36,24,14,124,119,164,10461,10433,97,122,508,499,980,826,1174,1412,7,13.1,33.3,20.7,10.1,10.6,5.2,10017,1576,1299,10.6
Laurens,92,73,34,766,559,547,47862,47353,941,1048,2642,2689,4219,3802,7266,8187,5.3,10.8,44.3,16.3,7.9,8.4,7.1,46381,6702,5981,5.1
Lee,56,51,92,630,561,516,28709,29443,259,288,1907,1942,2382,2301,2711,3592,2.4,8.7,29,22.3,11.9,15.1,10.6,28191,1313,1968,7.1
Liberty,164,105,62,367,288,232,64415,61745,328,396,3113,2939,9531,8783,4408,5439,2.8,6.3,31.3,30.5,9.6,13.5,6,59949,4770,5161,11.9
Long,16,20,21,275,190,151,15978,18773,145,201,994,1104,1632,1635,1191,1674,3.9,9.6,30.8,31.1,9,10.1,5.5,17659,1409,2121,17.2
Madison,90,41,42,741,402,405,28063,29277,355,440,1599,1586,2374,2315,4123,4886,6.3,11.5,37.8,19.7,8.1,9.3,7.4,28306,2364,2613,8
Mitchell,35,33,34,204,265,246,23078,22333,379,442,1221,1141,2104,1920,3184,3626,5.9,17.5,38.5,19,6.8,8.3,4,20101,2154,3284,15.2
Monroe,22,28,25,392,416,314,26385,27181,477,558,1445,1455,2286,2313,4036,4908,3.6,12.2,35.8,19.1,6.5,12.3,10.4,25637,1526,1889,9.4
Newton,305,357,279,1868,1669,1565,100973,107935,1074,1270,6488,6931,9478,10224,11033,13756,4.2,10.6,32.6,25.2,7.5,12.6,7.2,103499,7726,9602,9
Oconee,21,27,37,436,419,442,33511,38012,505,573,2379,2719,2643,3010,4150,5661,1.5,4.1,21,17.8,7.4,23,25.2,35713,802,1674,4.4
Oglethorpe,40,32,60,444,216,165,14503,14888,215,275,825,771,1159,1125,2277,2756,7.7,14.4,36,18.7,7.6,9.6,6,14488,776,1767,5.8
Paulding,185,180,188,2374,2450,2083,144720,159552,895,1267,9659,10547,12130,13547,12100,16489,3,6.9,33,24.1,8.6,16,8.3,151357,7343,7373,5.2
Peach,23,23,20,276,273,214,27643,26881,312,388,1346,1302,4863,3679,3494,4221,5.7,8.5,30.8,27,7.7,11.9,8.4,25043,1758,2927,8.6
Pickens,76,74,47,456,322,383,29286,31526,449,503,1492,1681,2168,2203,5402,6707,5.7,10.6,28.8,22.5,7.5,15.8,9.1,30101,790,2174,7
Pierce,37,54,32,236,239,247,18904,19219,266,311,1062,1160,1468,1479,2873,3231,5.4,12.8,40.2,20.6,8.4,6.6,6.1,18990,1449,2545,6.2
Pike,19,13,5,84,181,218,17769,18206,244,276,1201,1232,1380,1547,2429,2858,3,8.1,41.1,24.8,6.6,11.1,5.4,17524,1027,1121,9
Polk,52,0,52,671,527,543,41086,41910,601,650,2256,2454,3684,3465,5830,6482,8.9,14.4,38.2,20,5.9,7.5,5.2,40998,3130,4651,7.2
Pulaski,61,57,39,255,235,226,11702,11208,220,254,551,517,932,849,2070,2439,5.6,14.4,40.1,20.6,6.8,6.7,5.8,9828,1011,1132,6.7
Rabun,14,15,9,235,234,210,16308,16557,407,432,931,805,1173,1176,3813,4485,5.1,11.1,33.4,18.9,6.2,14.2,11.2,16045,1380,1879,5.7
Rockdale,167,171,246,2302,1683,1319,7304,6991,209,271,371,275,658,671,1438,1627,10.7,15.6,35.1,22.1,4.4,6.9,5.2,6977,1217,1232,8.9
Schley,4,5,2,24,18,11,5022,5254,55,79,344,364,384,416,759,874,4.9,13.8,34.5,24.8,8.3,8.1,5.6,5168,590,558,14.2
Seminole,10,30,22,92,64,64,8868,8287,188,237,487,411,713,638,1770,1906,5.1,10.8,40.9,21.9,6.1,9.3,5.7,8444,1154,995,7.3
Spalding,134,148,146,1549,1094,810,63682,65403,1046,1108,3274,3417,5726,5284,9364,11388,5.1,14.3,38.2,19.5,6.7,10.5,5.7,62957,5815,7809,8.3
Stephens,15,17,32,413,330,280,25721,25785,461,447,1341,1315,2604,2471,4471,4957,5.4,12.9,36.1,18.9,7,10.6,9,24898,2230,2274,11.7
Sumter,30,18,15,341,141,179,31586,29817,536,556,1806,1523,4309,4109,4302,4903,7.6,13.7,33.7,19.8,8.4,8.8,8,28600,4276,5284,10.6
Talbot,13,15,5,87,90,47,6625,6257,98,136,281,264,556,412,1246,1480,5.8,15,43,16.3,7.4,8.2,4.3,6348,513,557,8.2
Taylor,7,12,8,91,76,47,8362,8114,150,183,502,430,752,637,1401,1570,8.9,14.3,36,23,6.4,7.3,4.1,8097,1091,1194,14.1
Thomas,45,53,46,513,471,463,44535,44662,879,856,2422,2429,3577,3562,7039,7882,4.7,12.8,31.2,20.7,8.3,12,10.2,43990,3459,5121,9.3
Towns,35,31,13,124,131,148,10561,11539,365,434,387,376,1202,1540,3287,3976,5,5.9,30.4,24.1,9,15.1,10.5,10340,790,726,6.8
Treutlen,8,3,4,76,63,42,6788,6760,122,137,357,355,639,601,1018,1193,7.5,16.1,35.7,19.1,5.9,9.6,6,6404,532,815,5.6
Troup,65,51,30,712,594,602,68278,70038,1176,1229,4131,3979,6875,6826,8833,10125,5.6,10.9,35.5,22.7,6.9,11.5,7.1,67637,5631,8799,8.9
Twiggs,15,16,13,166,124,99,8547,8260,135,144,370,359,710,526,1595,1812,8.6,22.8,38.2,15.9,5.3,5.8,3.4,8225,967,1277,6.3
Union,14,14,18,275,211,239,21324,23427,659,764,943,1011,1277,1389,6187,7629,2.7,8.7,34.6,23,9.1,12,10,21744,1642,1146,5.5
Upson,22,23,20,430,254,303,26566,26197,505,514,1444,1354,2329,2145,4480,4824,5.8,15,36.9,20.5,8.8,7.9,5,25572,2912,2905,11.2
Walton,69,79,85,1071,635,599,84969,91406,1256,1393,5168,5753,7103,7610,11259,13903,2.7,10.5,38.1,21.6,8,13.2,5.7,87387,5915,5285,6.9
Ware,93,92,85,731,623,625,35900,35728,765,872,1759,1775,3443,3001,5608,6086,4.5,13.1,41.3,20.3,7.3,7.9,5.6,33179,4129,4111,4.6
Warren,2,15,18,36,47,32,5546,5292,146,155,259,259,442,397,1068,1150,9.3,15.6,43.9,12,5.5,8.5,5.2,5333,686,741,8.2
Wayne,135,156,129,840,802,730,30323,29760,407,451,1550,1663,2591,2281,4139,4633,6.5,12.2,39.8,19.9,8.9,7.5,5.3,27469,2803,3060,9.5
Webster,2,0,1,42,3,1,2766,2596,67,81,167,151,216,203,477,583,5.8,13.3,49.1,13.9,6.8,6.4,4.8,2613,187,322,4
White,28,34,26,411,162,118,27623,29455,482,590,1515,1437,2490,2646,5374,6561,3.4,11.4,31.7,24,9.2,11.9,8.3,28078,1654,3327,4.3
Whitfield,159,138,183,1736,1263,1327,102963,104063,1295,1594,6212,6415,9923,9690,12324,14234,14,17.1,28.9,20.6,4.8,9.3,5.3,102648,5664,14046,8
Wilkes,23,19,5,20,30,18,10084,9877,289,277,520,481,743,764,2074,2240,7.5,13.9,41.6,17.1,5.7,7.8,6.6,9779,812,1783,7.5
Wilkinson,9,19,8,86,43,40,9482,8967,159,173,493,490,767,664,1552,1695,5.2,12.2,52.1,16.2,5.3,5.5,3.5,9046,1130,982,8.8
