county,Pop2012,Pop2017,Pop85up2012,Pop85up2017,Pop14to172012,Pop14to172017,Pop18to242012,Pop18to242017,Pop65up2012,Pop65up2017
Madison,28063,29277,355,440,1599,1586,2374,2315,4123,4886
Marion,8672,8414,110,123,463,466,694,617,1349,1647
Meriwether,21339,21031,414,457,1093,1008,1821,1733,3708,4186
Miller,6004,5833,171,192,317,309,465,434,1163,1245
Mitchell,23078,22333,379,442,1221,1141,2104,1920,3184,3626
Monroe,26385,27181,477,558,1445,1455,2286,2313,4036,4908
Montgomery,8887,9068,86,113,448,438,989,1067,1239,1518
Morgan,17801,18381,283,340,1041,1038,1338,1377,2984,3594
Murray,39317,39809,345,467,2328,2368,3594,3332,4689,5775
Muscogee,198944,193766,3017,3188,10428,9922,23050,19605,22781,25418
Newton,100973,107935,1074,1270,6488,6931,9478,10224,11033,13756
Oconee,33511,38012,505,573,2379,2719,2643,3010,4150,5661
Oglethorpe,14503,14888,215,275,825,771,1159,1125,2277,2756
Paulding,144720,159552,895,1267,9659,10547,12130,13547,12100,16489
Peach,27643,26881,312,388,1346,1302,4863,3679,3494,4221
Pickens,29286,31526,449,503,1492,1681,2168,2203,5402,6707
Pierce,18904,19219,266,311,1062,1160,1468,1479,2873,3231
Pike,17769,18206,244,276,1201,1232,1380,1547,2429,2858
Polk,41086,41910,601,650,2256,2454,3684,3465,5830,6482
Pulaski,11702,11208,220,254,551,517,932,849,2070,2439
Putnam,21139,21706,332,428,961,1013,1479,1427,4226,5078
Quitman,2408,2348,49,72,106,125,171,123,597,711
Rabun,16308,16557,407,432,931,805,1173,1176,3813,4485
Randolph,7304,6991,209,271,371,275,658,671,1438,1627
Richmond,201572,201460,2727,2899,9946,9920,24784,23116,23834,27354
Rockdale,85437,89866,1041,1230,5475,5796,7851,8162,10141,12614
Schley,5022,5254,55,79,344,364,384,416,759,874
Screven,14168,13959,298,263,867,715,1342,1123,2234,2542
Seminole,8868,8287,188,237,487,411,713,638,1770,1906
Spalding,63682,65403,1046,1108,3274,3417,5726,5284,9364,11388
Stephens,25721,25785,461,447,1341,1315,2604,2471,4471,4957
Stewart,6105,6179,125,142,203,170,749,887,847,939
Sumter,31586,29817,536,556,1806,1523,4309,4109,4302,4903
Talbot,6625,6257,98,136,281,264,556,412,1246,1480
Taliaferro,1675,1622,57,67,76,55,151,114,364,415
Tattnall,25469,25353,311,334,1172,1175,2577,2378,3171,3531
Taylor,8362,8114,150,183,502,430,752,637,1401,1570
Telfair,16365,15890,319,424,678,717,1305,1183,2377,2814
Terrell,9226,8717,154,172,484,431,869,726,1503,1665
Thomas,44535,44662,879,856,2422,2429,3577,3562,7039,7882
Tift,40943,40438,680,702,2216,2173,5081,4450,5404,5942
Toombs,27179,26896,482,541,1626,1603,2326,2218,3975,4396
Towns,10561,11539,365,434,387,376,1202,1540,3287,3976
Treutlen,6788,6760,122,137,357,355,639,601,1018,1193
Troup,68278,70038,1176,1229,4131,3979,6875,6826,8833,10125
Turner,8441,7915,177,192,462,426,810,717,1452,1541
Twiggs,8547,8260,135,144,370,359,710,526,1595,1812
Union,21324,23427,659,764,943,1011,1277,1389,6187,7629
Upson,26566,26197,505,514,1444,1354,2329,2145,4480,4824
Walker,68466,69027,1234,1418,3770,3731,5466,5327,11118,12631
Walton,84969,91406,1256,1393,5168,5753,7103,7610,11259,13903
Ware,35900,35728,765,872,1759,1775,3443,3001,5608,6086
Warren,5546,5292,146,155,259,259,442,397,1068,1150
Washington,20793,20294,387,433,1142,987,1928,1773,2986,3449
Wayne,30323,29760,407,451,1550,1663,2591,2281,4139,4633
Webster,2766,2596,67,81,167,151,216,203,477,583
Wheeler,7920,7952,121,141,291,321,814,787,954,1129
White,27623,29455,482,590,1515,1437,2490,2646,5374,6561
Whitfield,102963,104063,1295,1594,6212,6415,9923,9690,12324,14234
Wilcox,9034,8794,185,202,388,359,820,769,1400,1573
Wilkes,10084,9877,289,277,520,481,743,764,2074,2240
Wilkinson,9482,8967,159,173,493,490,767,664,1552,1695
Worth,21362,20536,350,398,1163,1066,2027,1579,3375,3857
